Experiment,Model,Accuracy Mean,Accuracy Std,Convergence Mean,Convergence Std,tmax,num_steps
Aizawa-SNN,SNN,91.26008064516132,0.7638043040126857,37.2,15.879546593023369,32,1
Nose_hoover-SNN,SNN,92.24798387096774,0.8244587391367888,36.1,13.83799118369426,32,1
Sprott-SNN,SNN,91.49193548387096,1.1145383033133287,39.2,17.943243853885505,32,1
Chua-SNN,SNN,91.8951612903226,1.404939628240672,39.7,12.124768039018312,32,1
Lorenz-SNN,SNN,93.48790322580643,0.8016490061318977,33.5,12.314625451064275,32,10
Rossler-SNN,SNN,93.82056451612904,0.9794839560908246,17.8,6.241794613730893,32,10
Aizawa-SNN,SNN,94.1733870967742,0.4809217920111527,20.4,8.487638069569178,32,10
Nose_hoover-SNN,SNN,93.57862903225806,0.6626442915139049,21.7,9.980480950335007,32,10
Sprott-SNN,SNN,94.69758064516128,0.6051746378953072,32.1,13.895682782792646,32,10
Chua-SNN,SNN,94.32459677419357,0.6280007309343744,25.1,8.814193099768124,32,10
Lorenz-SNN,SNN,93.40725806451611,1.0112851777406826,34.9,19.76587969203496,32,20
Rossler-SNN,SNN,94.0423387096774,0.2721774193548389,25.8,9.907572861200668,32,20
Aizawa-SNN,SNN,93.97177419354838,0.9036667270570558,18.8,9.61041102138717,32,20
Nose_hoover-SNN,SNN,93.61895161290325,0.8742308385392655,29.2,13.4,32,20
Sprott-SNN,SNN,94.00201612903228,0.7966261330697738,25.2,10.4,32,20
Chua-SNN,SNN,94.21370967741936,1.0302005073420335,27.8,13.23480260525256,32,20
Lorenz-SNN,SNN,93.6491935483871,0.9326639924371272,11.4,6.499230723708768,32,3
Rossler-SNN,SNN,94.2439516129032,0.7917639300749594,32.1,21.98385771424115,32,3
Aizawa-SNN,SNN,93.5483870967742,0.6230458524339706,24.2,13.804347141389918,32,3
Nose_hoover-SNN,SNN,92.5,1.0736715286850282,15.4,7.876547467006087,32,3
Sprott-SNN,SNN,93.66935483870968,0.8455732651415634,22.4,10.071742649611338,32,3
Chua-SNN,SNN,93.0141129032258,0.6672290622327806,21.7,6.812488532100439,32,3
Lorenz-SNN,SNN,93.64919354838707,0.7070837869657347,26.1,8.154140052758475,32,5
Rossler-SNN,SNN,94.02217741935485,0.6911677305008853,18.4,6.873136110975833,32,5
Aizawa-SNN,SNN,94.35483870967742,1.0744284350382434,25.9,9.65867485734974,32,5
Nose_hoover-SNN,SNN,93.85080645161293,1.2147072847896832,23.2,9.558242516278815,32,5
Sprott-SNN,SNN,94.3951612903226,0.4112112510961916,22.5,9.86154146165801,32,5
Chua-SNN,SNN,93.72983870967742,0.6324349653773418,27.1,7.955501241279521,32,5
Lorenz-SNN,SNN,91.42137096774194,3.1555639843890635,35.9,13.743725841270264,4,1
Rossler-SNN,SNN,91.65322580645162,0.9137313865826332,29.2,13.196969349058897,4,1
Aizawa-SNN,SNN,91.81451612903228,1.640886286239985,32.9,10.396634070698074,4,1
Nose_hoover-SNN,SNN,92.03629032258064,1.2775005574549112,40.3,15.388632167934874,4,1
Sprott-SNN,SNN,92.00604838709675,1.0876357457111272,32.9,22.34479805234319,4,1
Chua-SNN,SNN,92.1673387096774,1.058275712227456,39.5,23.678048906107108,4,1
Lorenz-SNN,SNN,94.23387096774192,0.6356404342917125,23.5,13.253301475481496,4,10
Rossler-SNN,SNN,94.10282258064515,0.92087672916204,30.7,9.209234495874238,4,10
Aizawa-SNN,SNN,94.31451612903226,0.6330773575849853,27.2,14.797297050475128,4,10
Nose_hoover-SNN,SNN,93.79032258064515,0.8697441375049592,25.2,9.1192104921424,4,10
Sprott-SNN,SNN,94.28427419354838,0.5613570884002356,24.0,7.563068160475615,4,10
Chua-SNN,SNN,93.96169354838707,0.7814288296888493,25.7,7.861933604400384,4,10
Lorenz-SNN,SNN,94.75806451612904,0.6837026192666594,18.7,7.294518489934754,4,20
Rossler-SNN,SNN,94.02217741935485,0.7171442101545324,23.5,14.263590010933433,4,20
Aizawa-SNN,SNN,94.34475806451611,0.5529672641896177,21.3,11.82412787481597,4,20
Nose_hoover-SNN,SNN,93.55846774193547,0.726156389655324,27.3,10.488565202161828,4,20
Sprott-SNN,SNN,93.91129032258064,0.9660603669928172,21.0,9.808159868191384,4,20
Chua-SNN,SNN,93.92137096774192,0.7912503811770326,34.9,13.924438947404669,4,20
Lorenz-SNN,SNN,92.9233870967742,0.5234175397478686,31.1,11.76817742898194,4,3
Rossler-SNN,SNN,93.30645161290322,0.8790415063141763,24.4,12.403225386970924,4,3
Aizawa-SNN,SNN,94.21370967741936,0.6972425994270411,26.6,10.02197585309404,4,3
Nose_hoover-SNN,SNN,92.15725806451611,1.4537115206338989,17.9,8.7,4,3
Sprott-SNN,SNN,93.71975806451611,0.685261467716024,20.5,11.36001760562016,4,3
Chua-SNN,SNN,92.68145161290325,0.8615266378718371,22.8,13.585286158193355,4,3
Lorenz-SNN,SNN,92.93346774193547,0.9778225806451636,29.7,8.649277426467485,4,5
Rossler-SNN,SNN,93.91129032258064,0.8508446712100481,23.8,4.995998398718719,4,5
Aizawa-SNN,SNN,94.1733870967742,0.6937359086324706,18.3,12.35354200219516,4,5
Nose_hoover-SNN,SNN,93.91129032258064,0.6085237206768781,24.4,13.425349157470729,4,5
Sprott-SNN,SNN,94.31451612903228,0.5776834186247718,21.6,10.403845442911962,4,5
Chua-SNN,SNN,94.23387096774192,0.8946253117876546,29.2,10.10742301479462,4,5
Lorenz-SNN,SNN,91.05846774193547,2.27476632143119,44.1,15.36522046701576,8,1
Rossler-SNN,SNN,92.22782258064515,0.7522755325324857,37.4,13.610290224679266,8,1
Aizawa-SNN,SNN,92.2076612903226,0.6926364268670115,40.4,18.958902921846505,8,1
Nose_hoover-SNN,SNN,92.51008064516132,1.1529455586619397,32.8,12.82809416865966,8,1
Sprott-SNN,SNN,91.75403225806453,0.9895476767587116,37.5,14.49310180741169,8,1
