repetition,mode,delta,best_test_accuracy,final_train_loss,final_test_loss,final_avg_spikes,layer4_linearity_spike_count,internal_metrics
4,dissipative_delta_10.0,10.0,72.60416666666667,0.021991824626081413,0.9176235636075337,328.54479166666664,0.7291666666666666,"{'layer1_rate_mean': 0.24664713939030966, 'layer1_sparsity_mean': 0.7533528725306193, 'layer2_rate_mean': 0.1300390640894572, 'layer2_sparsity_mean': 0.8699609359105428, 'layer3_rate_mean': 0.05815755253036817, 'layer3_sparsity_mean': 0.9418424407641093, 'layer4_rate_mean': 0.02364583343733102, 'layer4_sparsity_mean': 0.976354165871938}"
5,expansive_delta_-1.5,-1.5,99.0625,0.039433403947060144,0.6131258090337117,525.2979166666667,0.9895833333333334,"{'layer1_rate_mean': 0.5088964978853862, 'layer1_sparsity_mean': 0.49110350211461384, 'layer2_rate_mean': 0.4314192791779836, 'layer2_sparsity_mean': 0.5685807148615519, 'layer3_rate_mean': 0.35810547272364296, 'layer3_sparsity_mean': 0.641894523302714, 'layer4_rate_mean': 0.08885416835546493, 'layer4_sparsity_mean': 0.911145830154419}"
5,tough_delta_2.0,2.0,49.791666666666664,0.03779571486126271,0.8008753339449565,308.8208333333333,0.5034722222222222,"{'layer1_rate_mean': 0.00937500037252903, 'layer1_sparsity_mean': 0.9906250238418579, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
5,dissipative_delta_10.0,10.0,49.791666666666664,0.03992104142784111,1.488706111907959,409.153125,0.5034722222222222,"{'layer1_rate_mean': 0.06251302237312, 'layer1_sparsity_mean': 0.937486986319224, 'layer2_rate_mean': 0.002490234406044086, 'layer2_sparsity_mean': 0.997509773572286, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
6,expansive_delta_-1.5,-1.5,78.33333333333333,0.16872084092709325,2.149596118927002,416.12291666666664,0.7708333333333334,"{'layer1_rate_mean': 0.53177410364151, 'layer1_sparsity_mean': 0.46822589635849, 'layer2_rate_mean': 0.34003255764643353, 'layer2_sparsity_mean': 0.6599674463272095, 'layer3_rate_mean': 0.2259472668170929, 'layer3_sparsity_mean': 0.7740527391433716, 'layer4_rate_mean': 0.07156250228484472, 'layer4_sparsity_mean': 0.9284374952316284}"
6,tough_delta_2.0,2.0,49.791666666666664,0.03260606029371341,0.6455165346463522,293.86354166666666,0.5034722222222222,"{'layer1_rate_mean': 0.0031250000465661287, 'layer1_sparsity_mean': 0.996874988079071, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
6,dissipative_delta_10.0,10.0,49.791666666666664,0.04491609706723642,0.7365286191304524,394.46979166666665,0.5034722222222222,"{'layer1_rate_mean': 0.02644531304637591, 'layer1_sparsity_mean': 0.9735546906789144, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
7,expansive_delta_-1.5,-1.5,98.75,0.04085566083930673,0.4195098797480265,457.7114583333333,0.9826388888888888,"{'layer1_rate_mean': 0.49604167143503824, 'layer1_sparsity_mean': 0.5039583285649617, 'layer2_rate_mean': 0.31795573433240254, 'layer2_sparsity_mean': 0.682044251759847, 'layer3_rate_mean': 0.29195313254992167, 'layer3_sparsity_mean': 0.7080468614896138, 'layer4_rate_mean': 0.15885416865348817, 'layer4_sparsity_mean': 0.8411458253860473}"
7,tough_delta_2.0,2.0,50.208333333333336,0.03173835917315897,1.2104626337687174,229.07916666666668,0.5034722222222222,"{'layer1_rate_mean': 0.17812500794728597, 'layer1_sparsity_mean': 0.821874984105428, 'layer2_rate_mean': 0.10930664092302322, 'layer2_sparsity_mean': 0.8906933625539144, 'layer3_rate_mean': 0.0768359382947286, 'layer3_sparsity_mean': 0.9231640696525574, 'layer4_rate_mean': 0.10000000149011612, 'layer4_sparsity_mean': 0.8999999761581421}"
7,dissipative_delta_10.0,10.0,95.52083333333333,0.02723663851183148,0.5872044702370961,325.16770833333334,0.9548611111111112,"{'layer1_rate_mean': 0.2783007899920146, 'layer1_sparsity_mean': 0.7216992100079854, 'layer2_rate_mean': 0.3595442771911621, 'layer2_sparsity_mean': 0.6404557188351949, 'layer3_rate_mean': 0.4526204486687978, 'layer3_sparsity_mean': 0.5473795572916667, 'layer4_rate_mean': 0.04656250104308128, 'layer4_sparsity_mean': 0.9534374992052714}"
8,expansive_delta_-1.5,-1.5,98.75,0.023143750904578594,0.5828523159027099,511.234375,0.9895833333333334,"{'layer1_rate_mean': 0.5643034021059672, 'layer1_sparsity_mean': 0.4356965978940328, 'layer2_rate_mean': 0.4565722743670146, 'layer2_sparsity_mean': 0.5434277216593425, 'layer3_rate_mean': 0.5422558705012004, 'layer3_sparsity_mean': 0.45774412949879967, 'layer4_rate_mean': 0.3167708396911621, 'layer4_sparsity_mean': 0.6832291523615519}"
8,tough_delta_2.0,2.0,49.791666666666664,0.033374101036198194,0.9339823047320048,286.10833333333335,0.5034722222222222,"{'layer1_rate_mean': 0.02187499962747097, 'layer1_sparsity_mean': 0.9781249761581421, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
8,dissipative_delta_10.0,10.0,98.75,0.03759857981405672,0.7537432193756104,397.60729166666664,0.9895833333333334,"{'layer1_rate_mean': 0.3477669358253479, 'layer1_sparsity_mean': 0.6522330522537232, 'layer2_rate_mean': 0.44211589097976683, 'layer2_sparsity_mean': 0.5578840931256612, 'layer3_rate_mean': 0.38836589455604553, 'layer3_sparsity_mean': 0.611634095509847, 'layer4_rate_mean': 0.049583334227403006, 'layer4_sparsity_mean': 0.9504166722297669}"
9,expansive_delta_-1.5,-1.5,99.0625,0.04310399954838137,0.4669755756855011,494.3020833333333,0.9965277777777778,"{'layer1_rate_mean': 0.5827050884564717, 'layer1_sparsity_mean': 0.4172949115435282, 'layer2_rate_mean': 0.33499675393104555, 'layer2_sparsity_mean': 0.66500324010849, 'layer3_rate_mean': 0.21110677421092988, 'layer3_sparsity_mean': 0.7888932228088379, 'layer4_rate_mean': 0.052916667858759564, 'layer4_sparsity_mean': 0.9470833381017049}"
