Experiment,Model,Run,Best Accuracy,Convergence Epoch,Final Loss
Default-ANN,ANN,1,98.18709935897436,42,0.11975201087438488
Default-ANN,ANN,2,98.09695512820512,28,0.11101861189249658
Default-ANN,ANN,3,98.02684294871794,12,0.10184273053127632
Default-ANN,ANN,4,98.05689102564102,15,0.09625456921133071
Default-ANN,ANN,5,98.1270032051282,22,0.1043679543529669
Default-ANN,ANN,6,98.20713141025641,30,0.11174531363019917
Default-ANN,ANN,7,98.13701923076923,29,0.10885085329970988
Default-ANN,ANN,8,98.21714743589743,46,0.13929899139512672
Default-ANN,ANN,9,98.3173076923077,49,0.1264549302961939
Default-ANN,ANN,10,98.21714743589743,30,0.12131242866428284
